LngtClass,Year
2200,01/01/2001
2300,01/01/2001
4800,01/01/2001
2100,01/01/2001
1500,01/01/2001
4400,01/01/2001
1400,01/01/2001
3600,01/01/2001
2000,01/01/2001
2100,01/01/2001
4900,01/01/2001
3700,01/01/2001
4100,01/01/2001
1700,01/01/2001
3700,01/01/2001
4800,01/01/2001
3500,01/01/2001
3700,01/01/2001
4200,01/01/2001
2200,01/01/2001
2400,01/01/2001
3500,01/01/2001
1500,01/01/2001
1900,01/01/2001
2100,01/01/2001
5200,01/01/2001
1400,01/01/2001
2100,01/01/2001
3100,01/01/2001
3300,01/01/2001
3500,01/01/2001
3700,01/01/2001
6600,01/01/2001
4000,01/01/2001
4200,01/01/2001
4800,01/01/2001
5400,01/01/2001
5900,01/01/2001
6200,01/01/2001
2600,01/01/2001
1200,01/01/2001
3100,01/01/2001
3900,01/01/2001
5400,01/01/2001
6000,01/01/2001
6400,01/01/2001
2700,01/01/2001
5200,01/01/2001
25,01/01/2001
38,01/01/2001
59,01/01/2001
4300,01/01/2001
2700,01/01/2001
3300,01/01/2001
1800,01/01/2001
4800,01/01/2001
7200,01/01/2001
2600,01/01/2001
2200,01/01/2001
2300,01/01/2001
5100,01/01/2001
3500,01/01/2001
4000,01/01/2001
5000,01/01/2001
7200,01/01/2001
3400,01/01/2001
4000,01/01/2001
4200,01/01/2001
5300,01/01/2001
2300,01/01/2001
2400,01/01/2001
2500,01/01/2001
2600,01/01/2001
2700,01/01/2001
3100,01/01/2001
3200,01/01/2001
1300,01/01/2001
2400,01/01/2001
2500,01/01/2001
2600,01/01/2001
2800,01/01/2001
2900,01/01/2001
2700,01/01/2001
3000,01/01/2001
4700,01/01/2001
2600,01/01/2001
4000,01/01/2001
2900,01/01/2001
3200,01/01/2001
3800,01/01/2001
2300,01/01/2001
2400,01/01/2001
2600,01/01/2001
2800,01/01/2001
2900,01/01/2001
3100,01/01/2001
3600,01/01/2001
2400,01/01/2001
2500,01/01/2001
2600,01/01/2001
2800,01/01/2001
2500,01/01/2001
2600,01/01/2001
4100,01/01/2001
2500,01/01/2001
2600,01/01/2001
2800,01/01/2001
3500,01/01/2001
4200,01/01/2001
5400,01/01/2001
3200,01/01/2001
3700,01/01/2001
4200,01/01/2001
6900,01/01/2001
2200,01/01/2001
2900,01/01/2001
3000,01/01/2001
4500,01/01/2001
2500,01/01/2001
3600,01/01/2001
4600,01/01/2001
3600,01/01/2001
3700,01/01/2001
3900,01/01/2001
4200,01/01/2001
4300,01/01/2001
5700,01/01/2001
7400,01/01/2001
2300,01/01/2001
3100,01/01/2001
3200,01/01/2001
3300,01/01/2001
3400,01/01/2001
3600,01/01/2001
7300,01/01/2001
7900,01/01/2001
8600,01/01/2001
3000,01/01/2001
3600,01/01/2001
3900,01/01/2001
4400,01/01/2001
4700,01/01/2001
6900,01/01/2001
7700,01/01/2001
7000,01/01/2001
2500,01/01/2001
3000,01/01/2001
4100,01/01/2001
2500,01/01/2001
2600,01/01/2001
2700,01/01/2001
2700,01/01/2001
3000,01/01/2001
3100,01/01/2001
2500,01/01/2001
2700,01/01/2001
2900,01/01/2001
3600,01/01/2001
4300,01/01/2001
4400,01/01/2001
7100,01/01/2001
3700,01/01/2001
4700,01/01/2001
5300,01/01/2001
2800,01/01/2001
5100,01/01/2001
4400,01/01/2001
6200,01/01/2001
4200,01/01/2001
5700,01/01/2001
7000,01/01/2001
3700,01/01/2001
4300,01/01/2001
2500,01/01/2001
2600,01/01/2001
2700,01/01/2001
2800,01/01/2001
4100,01/01/2001
4900,01/01/2001
2400,01/01/2001
2600,01/01/2001
2900,01/01/2001
3100,01/01/2001
3900,01/01/2001
4000,01/01/2001
4300,01/01/2001
4500,01/01/2001
4900,01/01/2001
4200,01/01/2001
4400,01/01/2001
4500,01/01/2001
4600,01/01/2001
4700,01/01/2001
4800,01/01/2001
7200,01/01/2001
8100,01/01/2001
4400,01/01/2001
4700,01/01/2001
5200,01/01/2001
6400,01/01/2001
6500,01/01/2001
1200,01/01/2001
3000,01/01/2001
8500,01/01/2001
4700,01/01/2001
7600,01/01/2001
7900,01/01/2001
4500,01/01/2001
4600,01/01/2001
3600,01/01/2001
4300,01/01/2001
8900,01/01/2001
7400,01/01/2001
4400,01/01/2001
4100,01/01/2001
1900,01/01/2001
1700,01/01/2001
3000,01/01/2001
3700,01/01/2001
2000,01/01/2001
4000,01/01/2001
1900,01/01/2001
3200,01/01/2001
3800,01/01/2001
2200,01/01/2001
2300,01/01/2001
4200,01/01/2001
5700,01/01/2001
4200,01/01/2001
1900,01/01/2001
2000,01/01/2001
2200,01/01/2001
1900,01/01/2001
2200,01/01/2001
2500,01/01/2001
1700,01/01/2001
1500,01/01/2001
1500,01/01/2001
1800,01/01/2001
1700,01/01/2001
1700,01/01/2001
2000,01/01/2001
2100,01/01/2001
2200,01/01/2001
2300,01/01/2001
2400,01/01/2001
2500,01/01/2001
2900,01/01/2001
2000,01/01/2001
2100,01/01/2001
2200,01/01/2001
2300,01/01/2001
2500,01/01/2001
2600,01/01/2001
2700,01/01/2001
2100,01/01/2001
2500,01/01/2001
2800,01/01/2001
1500,01/01/2001
1600,01/01/2001
2200,01/01/2001
2300,01/01/2001
2600,01/01/2001
7300,01/01/2001
7400,01/01/2001
1500,01/01/2001
5000,01/01/2001
4600,01/01/2001
4900,01/01/2001
5900,01/01/2001
7000,01/01/2001
8200,01/01/2001
6000,01/01/2001
2300,01/01/2001
2400,01/01/2001
4100,01/01/2001
6000,01/01/2001
2300,01/01/2001
1700,01/01/2001
2200,01/01/2001
2300,01/01/2001
2700,01/01/2001
3300,01/01/2001
3400,01/01/2001
5200,01/01/2001
5300,01/01/2001
5700,01/01/2001
5900,01/01/2001
3600,01/01/2001
4200,01/01/2001
4500,01/01/2001
4800,01/01/2001
5000,01/01/2001
5100,01/01/2001
4000,01/01/2001
4600,01/01/2001
4900,01/01/2001
5000,01/01/2001
5300,01/01/2001
4400,01/01/2002
4700,01/01/2002
2900,01/01/2002
3700,01/01/2002
4300,01/01/2002
2400,01/01/2002
2700,01/01/2002
4200,01/01/2002
6200,01/01/2002
8400,01/01/2002
5500,01/01/2002
2100,01/01/2002
2200,01/01/2002
3100,01/01/2002
3600,01/01/2002
3700,01/01/2002
1900,01/01/2002
43,01/01/2002
45,01/01/2002
48,01/01/2002
64,01/01/2002
67,01/01/2002
69,01/01/2002
71,01/01/2002
74,01/01/2002
75,01/01/2002
78,01/01/2002
46,01/01/2002
87,01/01/2002
3500,01/01/2002
4400,01/01/2002
5000,01/01/2002
31,01/01/2002
59,01/01/2002
1600,01/01/2002
5500,01/01/2002
1500,01/01/2002
4100,01/01/2002
3400,01/01/2002
3800,01/01/2002
2900,01/01/2002
3600,01/01/2002
5000,01/01/2002
5900,01/01/2002
4400,01/01/2002
4700,01/01/2002
2300,01/01/2002
3200,01/01/2002
4500,01/01/2002
5900,01/01/2002
7500,01/01/2002
2600,01/01/2002
3000,01/01/2002
5400,01/01/2002
3500,01/01/2002
3700,01/01/2002
3800,01/01/2002
3900,01/01/2002
2600,01/01/2002
2700,01/01/2002
2900,01/01/2002
3100,01/01/2002
2200,01/01/2002
2700,01/01/2002
5600,01/01/2002
2700,01/01/2002
3300,01/01/2002
3400,01/01/2002
2400,01/01/2002
3300,01/01/2002
3500,01/01/2002
4100,01/01/2002
2100,01/01/2002
2200,01/01/2002
3500,01/01/2002
3900,01/01/2002
4600,01/01/2002
2800,01/01/2002
4100,01/01/2002
2500,01/01/2002
3300,01/01/2002
2400,01/01/2002
4000,01/01/2002
4400,01/01/2002
3200,01/01/2002
3900,01/01/2002
4000,01/01/2002
4600,01/01/2002
5100,01/01/2002
3000,01/01/2002
3200,01/01/2002
5600,01/01/2002
6100,01/01/2002
6300,01/01/2002
4800,01/01/2002
3600,01/01/2002
4700,01/01/2002
6800,01/01/2002
3900,01/01/2002
4200,01/01/2002
4700,01/01/2002
6600,01/01/2002
5600,01/01/2002
3900,01/01/2002
4900,01/01/2002
5300,01/01/2002
7500,01/01/2002
3500,01/01/2002
4100,01/01/2002
4800,01/01/2002
5600,01/01/2002
4200,01/01/2002
3100,01/01/2002
3000,01/01/2002
4400,01/01/2002
8600,01/01/2002
3600,01/01/2002
4100,01/01/2002
2900,01/01/2002
3100,01/01/2002
2900,01/01/2002
3000,01/01/2002
3100,01/01/2002
20,01/01/2002
22,01/01/2002
23,01/01/2002
3900,01/01/2002
4900,01/01/2002
3000,01/01/2002
4800,01/01/2002
4900,01/01/2002
2800,01/01/2002
3000,01/01/2002
3300,01/01/2002
4700,01/01/2002
5100,01/01/2002
5200,01/01/2002
5800,01/01/2002
22,01/01/2002
23,01/01/2002
24,01/01/2002
25,01/01/2002
3700,01/01/2002
5400,01/01/2002
6900,01/01/2002
7400,01/01/2002
4800,01/01/2002
5600,01/01/2002
3400,01/01/2002
7000,01/01/2002
2300,01/01/2002
2500,01/01/2002
4600,01/01/2002
3300,01/01/2002
3000,01/01/2002
4700,01/01/2002
2200,01/01/2002
2400,01/01/2002
2900,01/01/2002
3800,01/01/2002
3900,01/01/2002
4100,01/01/2002
3800,01/01/2002
4200,01/01/2002
3400,01/01/2002
3800,01/01/2002
4000,01/01/2002
2200,01/01/2002
2300,01/01/2002
2800,01/01/2002
3000,01/01/2002
3100,01/01/2002
3300,01/01/2002
3400,01/01/2002
2100,01/01/2002
2300,01/01/2002
2600,01/01/2002
2700,01/01/2002
2800,01/01/2002
3000,01/01/2002
3400,01/01/2002
5200,01/01/2002
8000,01/01/2002
4000,01/01/2002
5000,01/01/2002
2200,01/01/2002
2500,01/01/2002
2600,01/01/2002
2200,01/01/2002
2500,01/01/2002
2600,01/01/2002
3000,01/01/2002
3100,01/01/2002
2600,01/01/2002
2600,01/01/2002
2900,01/01/2002
2800,01/01/2002
3400,01/01/2002
3500,01/01/2002
1800,01/01/2002
2000,01/01/2002
1900,01/01/2002
2000,01/01/2002
3100,01/01/2002
2700,01/01/2002
5700,01/01/2002
4200,01/01/2002
4400,01/01/2002
5200,01/01/2002
4000,01/01/2002
5300,01/01/2002
1800,01/01/2002
1900,01/01/2002
4300,01/01/2002
4600,01/01/2002
5500,01/01/2002
4800,01/01/2002
9200,01/01/2002
5900,01/01/2002
1200,01/01/2002
7100,01/01/2002
4800,01/01/2002
5200,01/01/2002
4700,01/01/2002
4900,01/01/2002
5900,01/01/2002
4400,01/01/2002
4700,01/01/2002
5400,01/01/2002
2700,01/01/2002
2700,01/01/2002
3500,01/01/2002
4300,01/01/2002
4800,01/01/2002
6900,01/01/2002
2800,01/01/2002
3000,01/01/2002
3200,01/01/2002
3600,01/01/2002
4700,01/01/2002
4800,01/01/2002
5100,01/01/2002
7400,01/01/2002
7500,01/01/2002
3600,01/01/2002
5800,01/01/2002
4900,01/01/2002
5300,01/01/2002
4300,01/01/2002
3500,01/01/2002
4300,01/01/2002
4600,01/01/2002
5100,01/01/2002
6200,01/01/2002
4300,01/01/2002
5700,01/01/2002
7000,01/01/2002
2400,01/01/2002
4300,01/01/2002
4900,01/01/2002
5200,01/01/2002
3200,01/01/2002
4000,01/01/2002
4100,01/01/2002
4200,01/01/2002
3500,01/01/2002
4000,01/01/2002
6500,01/01/2002
7300,01/01/2002
4000,01/01/2002
7100,01/01/2002
2400,01/01/2002
6100,01/01/2002
6400,01/01/2002
7200,01/01/2002
24,01/01/2002
48,01/01/2002
20,01/01/2002
21,01/01/2002
2300,01/01/2002
2800,01/01/2002
5000,01/01/2002
2100,01/01/2002
44,01/01/2002
45,01/01/2002
30,01/01/2003
33,01/01/2003
34,01/01/2003
35,01/01/2003
43,01/01/2003
56,01/01/2003
57,01/01/2003
64,01/01/2003
3400,01/01/2003
3000,01/01/2003
2300,01/01/2003
3100,01/01/2003
3300,01/01/2003
4800,01/01/2003
6800,01/01/2003
2500,01/01/2003
2600,01/01/2003
4300,01/01/2003
4500,01/01/2003
5400,01/01/2003
8400,01/01/2003
6700,01/01/2003
3400,01/01/2003
5700,01/01/2003
5300,01/01/2003
5800,01/01/2003
6200,01/01/2003
6400,01/01/2003
4700,01/01/2003
5000,01/01/2003
46,01/01/2003
48,01/01/2003
50,01/01/2003
1200,01/01/2003
4000,01/01/2003
1300,01/01/2003
2400,01/01/2003
5800,01/01/2003
5100,01/01/2003
5800,01/01/2003
5900,01/01/2003
7100,01/01/2003
3100,01/01/2003
3900,01/01/2003
2900,01/01/2003
4600,01/01/2003
2600,01/01/2003
2700,01/01/2003
2800,01/01/2003
2900,01/01/2003
3000,01/01/2003
3200,01/01/2003
6400,01/01/2003
2800,01/01/2003
2900,01/01/2003
3000,01/01/2003
3600,01/01/2003
5000,01/01/2003
5700,01/01/2003
7000,01/01/2003
7600,01/01/2003
4200,01/01/2003
4900,01/01/2003
3700,01/01/2003
4200,01/01/2003
6100,01/01/2003
6800,01/01/2003
2500,01/01/2003
4300,01/01/2003
3100,01/01/2003
3200,01/01/2003
3600,01/01/2003
4500,01/01/2003
3000,01/01/2003
3300,01/01/2003
4900,01/01/2003
2000,01/01/2003
4100,01/01/2003
1700,01/01/2003
2700,01/01/2003
2900,01/01/2003
8200,01/01/2003
4000,01/01/2003
5800,01/01/2003
4500,01/01/2003
4600,01/01/2003
4700,01/01/2003
5500,01/01/2003
2200,01/01/2003
1700,01/01/2003
4000,01/01/2003
4400,01/01/2003
6000,01/01/2003
3800,01/01/2003
4800,01/01/2003
4000,01/01/2003
3500,01/01/2003
4300,01/01/2003
2300,01/01/2003
2400,01/01/2003
2800,01/01/2003
3300,01/01/2003
4200,01/01/2003
4500,01/01/2003
6300,01/01/2003
3200,01/01/2003
4100,01/01/2003
4300,01/01/2003
4400,01/01/2003
4500,01/01/2003
2300,01/01/2003
2500,01/01/2003
4500,01/01/2003
5100,01/01/2003
5700,01/01/2003
6400,01/01/2003
6600,01/01/2003
7800,01/01/2003
74,01/01/2003
5500,01/01/2003
6000,01/01/2003
4800,01/01/2003
5400,01/01/2003
3200,01/01/2003
5800,01/01/2003
1900,01/01/2003
4100,01/01/2003
2000,01/01/2003
2500,01/01/2003
2600,01/01/2003
4100,01/01/2003
4600,01/01/2003
4700,01/01/2003
5300,01/01/2003
6500,01/01/2003
4300,01/01/2003
7300,01/01/2003
4100,01/01/2003
4200,01/01/2003
3400,01/01/2003
3700,01/01/2003
3800,01/01/2003
2700,01/01/2003
64,01/01/2003
48,01/01/2003
6500,01/01/2003
6900,01/01/2003
1300,01/01/2003
4300,01/01/2003
4800,01/01/2003
7100,01/01/2003
4300,01/01/2003
2700,01/01/2003
2800,01/01/2003
2100,01/01/2003
2400,01/01/2003
2700,01/01/2003
2800,01/01/2003
1800,01/01/2003
2000,01/01/2003
2300,01/01/2003
2000,01/01/2003
2100,01/01/2003
2300,01/01/2003
3100,01/01/2003
39,01/01/2003
43,01/01/2003
47,01/01/2003
48,01/01/2003
52,01/01/2003
2500,01/01/2003
2800,01/01/2003
3000,01/01/2003
6400,01/01/2003
43,01/01/2003
44,01/01/2003
45,01/01/2003
20,01/01/2003
23,01/01/2003
28,01/01/2003
29,01/01/2003
30,01/01/2003
31,01/01/2003
32,01/01/2003
39,01/01/2003
41,01/01/2003
42,01/01/2003
43,01/01/2003
4700,01/01/2003
5000,01/01/2003
5500,01/01/2003
5600,01/01/2003
5700,01/01/2003
6200,01/01/2003
6900,01/01/2003
7000,01/01/2003
4000,01/01/2003
4600,01/01/2003
5000,01/01/2003
5500,01/01/2003
6100,01/01/2003
5600,01/01/2003
6100,01/01/2003
8400,01/01/2003
7200,01/01/2003
3000,01/01/2003
6200,01/01/2003
2900,01/01/2003
3000,01/01/2003
4300,01/01/2003
4600,01/01/2003
4800,01/01/2003
3300,01/01/2003
3500,01/01/2003
4300,01/01/2003
4100,01/01/2003
2700,01/01/2003
2900,01/01/2003
3000,01/01/2003
3100,01/01/2003
5100,01/01/2003
6900,01/01/2003
7300,01/01/2003
3000,01/01/2003
3400,01/01/2003
3900,01/01/2003
3700,01/01/2003
2500,01/01/2003
2600,01/01/2003
2700,01/01/2003
2700,01/01/2003
2800,01/01/2003
3100,01/01/2003
4000,01/01/2003
4500,01/01/2003
5300,01/01/2003
6200,01/01/2003
3200,01/01/2003
2300,01/01/2003
2900,01/01/2003
2200,01/01/2003
2300,01/01/2003
2400,01/01/2003
2600,01/01/2003
2900,01/01/2003
3300,01/01/2003
4000,01/01/2003
4800,01/01/2003
5700,01/01/2003
6400,01/01/2003
6900,01/01/2003
2200,01/01/2003
2300,01/01/2003
3100,01/01/2003
3600,01/01/2003
3700,01/01/2003
4100,01/01/2003
4500,01/01/2003
2200,01/01/2003
2300,01/01/2003
5800,01/01/2003
7400,01/01/2003
5400,01/01/2003
1800,01/01/2003
4200,01/01/2003
4300,01/01/2003
4400,01/01/2003
4600,01/01/2003
5100,01/01/2003
5200,01/01/2003
5300,01/01/2003
5400,01/01/2003
5800,01/01/2003
6900,01/01/2003
3700,01/01/2003
3900,01/01/2003
5800,01/01/2003
4100,01/01/2003
4100,01/01/2003
5600,01/01/2003
7000,01/01/2003
4700,01/01/2003
6300,01/01/2003
5500,01/01/2003
7000,01/01/2003
3700,01/01/2003
5100,01/01/2003
4000,01/01/2003
1700,01/01/2003
1800,01/01/2003
2000,01/01/2003
2100,01/01/2003
2600,01/01/2003
2600,01/01/2003
1900,01/01/2003
2200,01/01/2003
8200,01/01/2003
8900,01/01/2003
4300,01/01/2003
4400,01/01/2003
1800,01/01/2003
4300,01/01/2003
1800,01/01/2003
1900,01/01/2003
2000,01/01/2003
2100,01/01/2003
2200,01/01/2003
2300,01/01/2003
2500,01/01/2003
1700,01/01/2003
2500,01/01/2003
2700,01/01/2003
2500,01/01/2003
1700,01/01/2003
2300,01/01/2003
4400,01/01/2003
1800,01/01/2003
3900,01/01/2003
3400,01/01/2003
3600,01/01/2003
3400,01/01/2003
3700,01/01/2003
3900,01/01/2003
2200,01/01/2003
4000,01/01/2003
3900,01/01/2003
2000,01/01/2003
4000,01/01/2003
4200,01/01/2003
2200,01/01/2003
2700,01/01/2003
3400,01/01/2003
2200,01/01/2003
2300,01/01/2003
3300,01/01/2003
3700,01/01/2003
1500,01/01/2003
4100,01/01/2003
3800,01/01/2003
1400,01/01/2003
3600,01/01/2003
3800,01/01/2003
1700,01/01/2003
1800,01/01/2003
1900,01/01/2003
2100,01/01/2003
2700,01/01/2003
3500,01/01/2003
4100,01/01/2003
75,01/01/2003
6000,01/01/2003
6900,01/01/2003
2000,01/01/2003
2100,01/01/2003
2100,01/01/2003
2200,01/01/2003
2300,01/01/2003
4700,01/01/2003
4300,01/01/2003
4600,01/01/2003
2000,01/01/2003
2300,01/01/2003
2500,01/01/2003
3300,01/01/2003
4700,01/01/2003
2400,01/01/2003
2600,01/01/2003
2900,01/01/2003
3100,01/01/2003
2400,01/01/2003
2700,01/01/2003
2800,01/01/2003
2900,01/01/2003
2500,01/01/2003
3100,01/01/2003
2500,01/01/2003
2600,01/01/2003
2900,01/01/2003
4300,01/01/2003
2200,01/01/2003
1200,01/01/2003
2300,01/01/2003
2700,01/01/2003
2900,01/01/2003
3200,01/01/2003
5000,01/01/2003
5200,01/01/2003
6300,01/01/2003
7000,01/01/2003
4000,01/01/2004
4300,01/01/2004
3800,01/01/2004
3900,01/01/2004
5100,01/01/2004
5200,01/01/2004
5400,01/01/2004
7300,01/01/2004
4200,01/01/2004
4400,01/01/2004
4600,01/01/2004
5600,01/01/2004
6400,01/01/2004
7000,01/01/2004
2700,01/01/2004
4200,01/01/2004
2800,01/01/2004
67,01/01/2004
3000,01/01/2004
4400,01/01/2004
2700,01/01/2004
7200,01/01/2004
7500,01/01/2004
2700,01/01/2004
2300,01/01/2004
2800,01/01/2004
2100,01/01/2004
6000,01/01/2004
2600,01/01/2004
3600,01/01/2004
4400,01/01/2004
2700,01/01/2004
3400,01/01/2004
2200,01/01/2004
2300,01/01/2004
2500,01/01/2004
2600,01/01/2004
2700,01/01/2004
2800,01/01/2004
2900,01/01/2004
3200,01/01/2004
2600,01/01/2004
3000,01/01/2004
3400,01/01/2004
4000,01/01/2004
4700,01/01/2004
6500,01/01/2004
3000,01/01/2004
3200,01/01/2004
6200,01/01/2004
6300,01/01/2004
1100,01/01/2004
3000,01/01/2004
4600,01/01/2004
5600,01/01/2004
6100,01/01/2004
7200,01/01/2004
4800,01/01/2004
5300,01/01/2004
3000,01/01/2004
5600,01/01/2004
7100,01/01/2004
7800,01/01/2004
3300,01/01/2004
4500,01/01/2004
2300,01/01/2004
3000,01/01/2004
3500,01/01/2004
1100,01/01/2004
2900,01/01/2004
3000,01/01/2004
3100,01/01/2004
4200,01/01/2004
4300,01/01/2004
4400,01/01/2004
5300,01/01/2004
3800,01/01/2004
5400,01/01/2004
3700,01/01/2004
6100,01/01/2004
4100,01/01/2004
7300,01/01/2004
7600,01/01/2004
8200,01/01/2004
8600,01/01/2004
1200,01/01/2004
6900,01/01/2004
4700,01/01/2004
7500,01/01/2004
8100,01/01/2004
1200,01/01/2004
3700,01/01/2004
4200,01/01/2004
3900,01/01/2004
4200,01/01/2004
4500,01/01/2004
6000,01/01/2004
1200,01/01/2004
2500,01/01/2004
2600,01/01/2004
1100,01/01/2004
7100,01/01/2004
4000,01/01/2004
4200,01/01/2004
5400,01/01/2004
3200,01/01/2004
4200,01/01/2004
2400,01/01/2004
4100,01/01/2004
5600,01/01/2004
2300,01/01/2004
2900,01/01/2004
3000,01/01/2004
3300,01/01/2004
2600,01/01/2004
2800,01/01/2004
7300,01/01/2004
3300,01/01/2004
4400,01/01/2004
5200,01/01/2004
7100,01/01/2004
5400,01/01/2004
5800,01/01/2004
6500,01/01/2004
2300,01/01/2004
2500,01/01/2004
2800,01/01/2004
2100,01/01/2004
2200,01/01/2004
3700,01/01/2004
3300,01/01/2004
3700,01/01/2004
2500,01/01/2004
3600,01/01/2004
3700,01/01/2004
4600,01/01/2004
5900,01/01/2004
6600,01/01/2004
4400,01/01/2004
2600,01/01/2004
2800,01/01/2004
3100,01/01/2004
3600,01/01/2004
4100,01/01/2004
7500,01/01/2004
2300,01/01/2004
3800,01/01/2004
4100,01/01/2004
4200,01/01/2004
4300,01/01/2004
4400,01/01/2004
5500,01/01/2004
4600,01/01/2004
5300,01/01/2004
5900,01/01/2004
4000,01/01/2004
4900,01/01/2004
5800,01/01/2004
6000,01/01/2004
7100,01/01/2004
4600,01/01/2004
5700,01/01/2004
3100,01/01/2004
4500,01/01/2004
2500,01/01/2004
2700,01/01/2004
2900,01/01/2004
3100,01/01/2004
3400,01/01/2004
2700,01/01/2004
3500,01/01/2004
2500,01/01/2004
3200,01/01/2004
3600,01/01/2004
4100,01/01/2004
4800,01/01/2004
5600,01/01/2004
4000,01/01/2004
4300,01/01/2004
4500,01/01/2004
4800,01/01/2004
2100,01/01/2004
5700,01/01/2004
6200,01/01/2004
6400,01/01/2004
2400,01/01/2004
2700,01/01/2004
3000,01/01/2004
3100,01/01/2004
2400,01/01/2004
5400,01/01/2004
4400,01/01/2004
1900,01/01/2004
1800,01/01/2004
2100,01/01/2004
2200,01/01/2004
2300,01/01/2004
2500,01/01/2004
2600,01/01/2004
3400,01/01/2004
4000,01/01/2004
4100,01/01/2004
2000,01/01/2004
2100,01/01/2004
2400,01/01/2004
3900,01/01/2004
4400,01/01/2004
2100,01/01/2004
4100,01/01/2004
4400,01/01/2004
3500,01/01/2004
3800,01/01/2004
3900,01/01/2004
4100,01/01/2004
4200,01/01/2004
4400,01/01/2004
5100,01/01/2004
3600,01/01/2004
4100,01/01/2004
3000,01/01/2004
8500,01/01/2004
3900,01/01/2004
5000,01/01/2004
42,01/01/2004
5800,01/01/2004
3100,01/01/2004
4200,01/01/2004
5900,01/01/2004
3300,01/01/2004
5700,01/01/2004
3300,01/01/2004
4700,01/01/2004
4900,01/01/2004
3300,01/01/2004
4000,01/01/2004
5400,01/01/2004
4500,01/01/2004
3700,01/01/2004
1600,01/01/2004
2200,01/01/2004
3900,01/01/2004
4100,01/01/2004
2600,01/01/2004
2400,01/01/2004
2500,01/01/2004
2600,01/01/2004
2700,01/01/2004
3100,01/01/2004
3900,01/01/2004
2700,01/01/2004
3000,01/01/2004
4200,01/01/2004
4300,01/01/2004
4500,01/01/2004
4000,01/01/2004
3000,01/01/2004
2700,01/01/2004
6400,01/01/2004
4000,01/01/2004
4700,01/01/2004
2300,01/01/2004
2400,01/01/2004
2500,01/01/2004
2600,01/01/2004
2700,01/01/2004
2800,01/01/2004
2900,01/01/2004
3000,01/01/2004
3200,01/01/2004
2300,01/01/2004
2500,01/01/2004
2600,01/01/2004
2700,01/01/2004
2800,01/01/2004
2900,01/01/2004
3000,01/01/2004
4400,01/01/2004
5600,01/01/2004
6400,01/01/2004
6500,01/01/2004
6900,01/01/2004
7100,01/01/2004
2800,01/01/2004
4500,01/01/2004
4700,01/01/2004
5500,01/01/2004
2400,01/01/2004
2800,01/01/2004
5000,01/01/2004
5100,01/01/2004
5500,01/01/2004
4700,01/01/2004
5400,01/01/2004
5100,01/01/2004
5200,01/01/2004
4900,01/01/2004
6600,01/01/2004
8100,01/01/2004
4400,01/01/2004
3600,01/01/2004
10000,01/01/2004
4800,01/01/2004
2800,01/01/2004
4400,01/01/2004
2900,01/01/2004
3000,01/01/2004
3400,01/01/2004
3500,01/01/2004
3700,01/01/2004
3200,01/01/2004
3300,01/01/2004
3400,01/01/2004
2700,01/01/2004
8100,01/01/2004
3400,01/01/2004
4200,01/01/2004
3600,01/01/2004
4800,01/01/2004
2400,01/01/2004
3100,01/01/2004
4700,01/01/2004
5100,01/01/2004
5700,01/01/2004
2500,01/01/2004
6600,01/01/2004
6700,01/01/2004
7200,01/01/2004
7500,01/01/2004
8200,01/01/2004
6100,01/01/2004
6200,01/01/2004
7200,01/01/2004
7300,01/01/2004
7400,01/01/2004
7500,01/01/2004
8400,01/01/2004
8500,01/01/2004
8600,01/01/2004
9000,01/01/2004
9400,01/01/2004
7600,01/01/2004
7700,01/01/2004
7800,01/01/2004
8000,01/01/2004
8100,01/01/2004
8300,01/01/2004
2500,01/01/2004
2400,01/01/2004
2300,01/01/2004
2600,01/01/2004
3100,01/01/2004
3300,01/01/2004
3400,01/01/2004
4100,01/01/2004
3300,01/01/2004
3500,01/01/2004
3800,01/01/2004
1200,01/01/2004
2600,01/01/2004
2700,01/01/2004
4400,01/01/2004
7800,01/01/2004
2100,01/01/2004
2300,01/01/2004
2500,01/01/2004
3000,01/01/2004
3200,01/01/2004
4200,01/01/2004
5900,01/01/2004
6100,01/01/2004
6800,01/01/2004
7000,01/01/2004
2200,01/01/2004
2600,01/01/2004
2700,01/01/2004
3300,01/01/2004
4500,01/01/2004
4600,01/01/2004
4800,01/01/2004
4900,01/01/2004
5100,01/01/2004
7800,01/01/2004
5900,01/01/2004
5100,01/01/2004
6900,01/01/2004
4200,01/01/2004
26,01/01/2004
5600,01/01/2004
2100,01/01/2004
4600,01/01/2004
2300,01/01/2004
2000,01/01/2004
5600,01/01/2004
6800,01/01/2004
7900,01/01/2004
3900,01/01/2004
7400,01/01/2004
3200,01/01/2004
4500,01/01/2004
4800,01/01/2004
4200,01/01/2004
4300,01/01/2004
4900,01/01/2004
2000,01/01/2004
2200,01/01/2004
4000,01/01/2004
7300,01/01/2004
7800,01/01/2004
2500,01/01/2004
44,01/01/2004
5000,01/01/2004
6500,01/01/2004
4700,01/01/2004
5600,01/01/2004
6000,01/01/2004
6100,01/01/2004
6700,01/01/2004
4300,01/01/2004
5000,01/01/2004
5400,01/01/2004
6000,01/01/2004
2000,01/01/2005
3900,01/01/2005
2400,01/01/2005
4100,01/01/2005
2100,01/01/2005
3600,01/01/2005
4000,01/01/2005
6200,01/01/2005
4000,01/01/2005
4200,01/01/2005
1400,01/01/2005
