LngtClass,Year
4500,01/01/1992
5000,01/01/1992
4300,01/01/1992
1800,01/01/1992
2000,01/01/1992
2200,01/01/1992
3200,01/01/1992
1900,01/01/1992
2100,01/01/1992
2200,01/01/1992
2300,01/01/1992
2800,01/01/1992
2900,01/01/1992
1900,01/01/1992
2200,01/01/1992
2300,01/01/1992
2400,01/01/1992
3200,01/01/1992
3300,01/01/1992
3500,01/01/1992
7900,01/01/1992
65,01/01/1992
2100,01/01/1992
2200,01/01/1992
2400,01/01/1992
2500,01/01/1992
1700,01/01/1992
1800,01/01/1992
2100,01/01/1992
2300,01/01/1992
2400,01/01/1992
2700,01/01/1992
1700,01/01/1992
2200,01/01/1992
2200,01/01/1992
4600,01/01/1993
2600,01/01/1993
4000,01/01/1993
5400,01/01/1993
3000,01/01/1993
5200,01/01/1993
3700,01/01/1993
4900,01/01/1993
4200,01/01/1993
4200,01/01/1993
2200,01/01/1993
2700,01/01/1993
1800,01/01/1993
2100,01/01/1993
2400,01/01/1993
1800,01/01/1993
2100,01/01/1993
2200,01/01/1993
2000,01/01/1993
2100,01/01/1993
2200,01/01/1993
2200,01/01/1993
8200,01/01/1993
1900,01/01/1993
2200,01/01/1993
2300,01/01/1993
4200,01/01/1993
4400,01/01/1993
1900,01/01/1993
2100,01/01/1993
2200,01/01/1993
1700,01/01/1993
2300,01/01/1993
4200,01/01/1993
1900,01/01/1993
2000,01/01/1993
2200,01/01/1993
2100,01/01/1993
2300,01/01/1993
7700,01/01/1993
2900,01/01/1993
2500,01/01/1993
5000,01/01/1993
2200,01/01/1993
2900,01/01/1993
3000,01/01/1993
5100,01/01/1993
4900,01/01/1993
2600,01/01/1993
3700,01/01/1993
4000,01/01/1993
4200,01/01/1993
4900,01/01/1993
4200,01/01/1993
4400,01/01/1993
4200,01/01/1993
2500,01/01/1993
4300,01/01/1993
4600,01/01/1993
5700,01/01/1993
5100,01/01/1993
3000,01/01/1993
3300,01/01/1993
3000,01/01/1993
4000,01/01/1993
4500,01/01/1993
4100,01/01/1993
5000,01/01/1993
2300,01/01/1993
2900,01/01/1993
3900,01/01/1993
4200,01/01/1993
4200,01/01/1993
5000,01/01/1993
3700,01/01/1993
2600,01/01/1993
2600,01/01/1993
4200,01/01/1993
6600,01/01/1993
8500,01/01/1993
4500,01/01/1993
4200,01/01/1993
2800,01/01/1993
4500,01/01/1993
2700,01/01/1993
4000,01/01/1993
4300,01/01/1993
8400,01/01/1993
6000,01/01/1993
5400,01/01/1993
4800,01/01/1993
8200,01/01/1993
4500,01/01/1993
4200,01/01/1993
5200,01/01/1993
2800,01/01/1993
8100,01/01/1993
4300,01/01/1993
4700,01/01/1993
5700,01/01/1993
2500,01/01/1993
2600,01/01/1993
3700,01/01/1993
4700,01/01/1993
3500,01/01/1993
3800,01/01/1993
4800,01/01/1993
5900,01/01/1993
2000,01/01/1993
4300,01/01/1993
4600,01/01/1993
5400,01/01/1993
5700,01/01/1993
3500,01/01/1993
4400,01/01/1993
4000,01/01/1993
4600,01/01/1993
5100,01/01/1993
3700,01/01/1993
5500,01/01/1993
3100,01/01/1993
3300,01/01/1993
3500,01/01/1993
3600,01/01/1993
